ID,特征标识,特征描述,JSdc得分,JSsc得分,VS
0,nb_new_A_hijacker,,0.353,0.245,0.108
1,nb_A_hijacker ,,0.344,0.251,0.093
2,nb_dup_A_hijacker ,,0.361,0.287,0.074
3,nb_implicit_W_hijacker ,,0.355,0.285,0.07
4,nb_toshorter_hijacker ,,0.354,0.285,0.069
5,nb_A_prefix_hijacker,,0.33,0.276,0.054
6,max_path_len_hijacker ,,0.314,0.266,0.048
7,max_editdist_hijacker ,,0.324,0.279,0.045
8,avg_path_len_hijacker,,0.32,0.279,0.041
9,max_A_prefix_hijacker ,,0.346,0.306,0.04
10,avg_A_prefix_hijacker ,,0.342,0.304,0.038
11,nb_tolonger_hijacker,,0.358,0.321,0.037
12,avg_editdist_hijacker,,0.318,0.284,0.034
13,editdist_12,,0.219,0.216,0.003
14,nb_W_prefix,,0.445,0.443,0.002
15,editdist_16,,0.379,0.377,0.002
16,editdist_14,,0.276,0.274,0.002
17,nb_W,,0.264,0.262,0.002
18,editdist_15,,0.339,0.338,0.001
19,editdist_13,,0.254,0.253,0.001
20,nb_A_prefix,,0.197,0.196,0.001
21,nb_A,,0.057,0.056,0.001
22,max_path_len,,0.019,0.018,0.001
23,max_A_prefix,,0.01,0.009,0.001
24,editdist_16_hijacker ,,0.007,0.006,0.001
25,clustering,,0.001,0,0.001
26,triangles,,0.001,0,0.001
27,nb_new_A,,0.227,0.227,0
28,editdist_11,,0.208,0.208,0
29,editdist_9,,0.118,0.118,0
30,avg_A_prefix,,0.106,0.106,0
31,nb_dup_W,,0.079,0.079,0
32,nb_tolonger ,,0.077,0.077,0
33,nb_new_A_afterW,,0.056,0.056,0
34,nb_implicit_W,,0.047,0.047,0
35,nb_toshorter,,0.044,0.044,0
36,avg_editdist,,0.008,0.008,0
37,average_neighbor_degree,,0.005,0.005,0
38,nb_of_nodes,,0.002,0.002,0
39,nb_of_edges ,,0.002,0.002,0
40,assortativity,,0.001,0.001,0
41,number_of_cliques,,0,0,0
42,diameter,,0,0,0
43,avg_interarrival,,0,0,0
44,avg_interarrival_hijacker ,,0,0,0
45,degree ,,0,0,0
46,eigenvector ,,0,0,0
47,node_clique_number ,,0,0,0
48,degree_centrality,,0,0,0
49,percolation_limit,,0,0,0
50,pagerank,,0,0,0
51,nb_new_A_afterW_hijacker,,0,0,0
52,max_A_AS,,0.101,0.102,-0.001
53,editdist_17_hijacker ,,0.004,0.005,-0.001
54,avg_A_AS,,0.082,0.083,-0.001
55,nb_dup_A,,0.055,0.056,-0.001
56,nb_orign_change ,,0.1,0.102,-0.002
57,editdist_8,,0.085,0.087,-0.002
58,editdist_17,,0.417,0.419,-0.002
59,editdist_7,,0.08,0.082,-0.002
60,editdist_10,,0.163,0.166,-0.003
61,editdist_14_hijacker ,,0.017,0.021,-0.004
62,editdist_15_hijacker ,,0.031,0.038,-0.007
63,nb_orign_change_hijacker ,,0.214,0.222,-0.008
64,editdist_13_hijacker,,0.04,0.049,-0.009
65,editdist_12_hijacker ,,0.058,0.07,-0.012
66,editdist_11_hijacker ,,0.066,0.081,-0.015
67,editdist_7_hijacker,,0.102,0.123,-0.021
68,editdist_10_hijacker ,,0.076,0.1,-0.024
69,editdist_8_hijacker,,0.084,0.109,-0.025
70,editdist_9_hijacker,,0.088,0.113,-0.025
